epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9269,2.24998,6.83994,0.00635,0.20763,0.42241,0.28352,0.08247,2.07961,4.51454,0.00701,0.000229851,0.000229851,0.067394
2,81.0317,2.00892,3.08766,0.00539,0.69386,0.37069,0.43093,0.15845,1.9388,2.65746,0.00588,0.000458599,0.000458599,0.0342894
3,120.057,1.88132,2.6267,0.00497,0.57681,0.55172,0.57781,0.24433,1.60883,2.63573,0.00467,0.000682726,0.000682726,0.00118024
4,158.141,1.80361,2.47817,0.00463,0.57042,0.55172,0.57251,0.1821,1.8886,2.37737,0.00589,0.00067921,0.00067921,0.00067921
5,196.489,1.83331,2.33218,0.00478,0.65073,0.53448,0.57818,0.22278,1.92229,2.11208,0.0061,0.00067228,0.00067228,0.00067228
6,234.479,1.83259,2.12623,0.00472,0.59838,0.59483,0.59612,0.22058,1.89301,2.03144,0.00554,0.00066535,0.00066535,0.00066535
7,272.435,1.75964,2.01895,0.00457,0.68916,0.55429,0.61868,0.20148,1.81539,1.93573,0.00554,0.00065842,0.00065842,0.00065842
8,310.395,1.79051,1.96967,0.00473,0.80502,0.56897,0.66595,0.28251,1.79124,1.93447,0.00539,0.00065149,0.00065149,0.00065149
9,348.561,1.75045,1.75109,0.00451,0.69422,0.62931,0.66025,0.24002,1.70034,1.84269,0.00503,0.00064456,0.00064456,0.00064456
10,387.454,1.73827,1.70376,0.00443,0.67027,0.55172,0.59473,0.19872,1.94156,1.98823,0.00587,0.00063763,0.00063763,0.00063763
11,425.648,1.763,1.66156,0.00456,0.52726,0.66343,0.59644,0.24351,1.77662,1.93234,0.00538,0.0006307,0.0006307,0.0006307
12,463.279,1.74541,1.56714,0.00447,0.64456,0.66379,0.65775,0.27279,1.76595,1.61255,0.00528,0.00062377,0.00062377,0.00062377
13,501.439,1.72599,1.53362,0.0044,0.70267,0.65195,0.64907,0.25864,1.7909,1.63993,0.00532,0.00061684,0.00061684,0.00061684
14,539.249,1.73548,1.55283,0.0044,0.73749,0.64655,0.65545,0.2631,1.86634,1.59009,0.00576,0.00060991,0.00060991,0.00060991
15,575.841,1.6918,1.42313,0.00441,0.7678,0.57013,0.66942,0.24631,1.90231,1.56534,0.00609,0.00060298,0.00060298,0.00060298
