epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5301,2.79931,28.975,0.02707,0,0,0,0,3.11934,6.58201,0.02618,0.000262295,0.000262295,0.0674754
2,84.0296,2.79233,5.30169,0.02692,0,0,0,0,2.84749,5.5159,0.02426,0.000514,0.000514,0.0343938
3,124.563,2.66119,4.85865,0.02373,0.00899,0.05263,0.00125,0.00027,2.5454,5.26343,0.02136,0.000750619,0.000750619,0.00129707
4,165.305,2.59681,4.73717,0.02434,0.04247,0.01053,0.00219,0.0007,2.41576,5.31281,0.01946,0.000732114,0.000732114,0.000732114
5,206.271,2.55794,4.69656,0.02276,0.00763,0.01053,0.00092,0.0002,2.60088,65.5339,0.02709,0.000709486,0.000709486,0.000709486
6,246.944,2.43637,4.37577,0.02086,0.00197,0.15789,0.00064,0.00014,2.82671,122.137,0.02497,0.000686857,0.000686857,0.000686857
7,287.861,2.40583,4.27893,0.02076,0.01262,0.07368,0.00385,0.00089,2.63045,9.00358,0.02558,0.000664229,0.000664229,0.000664229
8,328.618,2.43683,4.11961,0.02115,0.03281,0.07368,0.01586,0.00292,2.44929,4.66742,0.02086,0.0006416,0.0006416,0.0006416
9,369.424,2.58618,4.20821,0.02253,0.06377,0.07368,0.03582,0.00726,2.31814,4.39016,0.01901,0.000618971,0.000618971,0.000618971
10,409.824,2.26005,3.78073,0.0203,0.10339,0.08421,0.03762,0.00876,2.31138,4.28275,0.01763,0.000596343,0.000596343,0.000596343
11,450.39,2.32436,3.87144,0.0199,0.1002,0.04211,0.03174,0.00617,2.64928,4.40836,0.02267,0.000573714,0.000573714,0.000573714
12,491.357,2.34866,3.93762,0.01948,0.04291,0.13684,0.01495,0.00331,2.39828,5.07621,0.02053,0.000551086,0.000551086,0.000551086
13,532.225,2.19752,3.80517,0.0183,0.00711,0.03158,0.00372,0.00087,2.53047,5.7957,0.02233,0.000528457,0.000528457,0.000528457
14,573.081,2.11378,3.79949,0.01776,0.01648,0.08421,0.00701,0.00166,2.16739,4.549,0.01704,0.000505829,0.000505829,0.000505829
15,613.932,2.19246,3.79434,0.01759,0.0806,0.05725,0.02404,0.00577,2.31219,4.32577,0.01738,0.0004832,0.0004832,0.0004832
16,654.74,2.14219,3.52281,0.01788,0.04986,0.09474,0.02242,0.00527,2.33502,4.80696,0.0179,0.000460571,0.000460571,0.000460571
17,695.509,2.0475,3.65024,0.01618,0.05059,0.17895,0.02901,0.00954,2.27785,4.78913,0.01761,0.000437943,0.000437943,0.000437943
18,736.197,2.02001,3.54536,0.01736,0.04628,0.10526,0.02565,0.00798,2.16045,4.47482,0.0165,0.000415314,0.000415314,0.000415314
19,777.023,1.97022,3.59874,0.01583,0.14475,0.06316,0.0408,0.01059,2.15963,4.63804,0.01816,0.000392686,0.000392686,0.000392686
20,817.954,2.01107,3.32518,0.01736,0.12899,0.09474,0.06685,0.01748,2.05635,3.95749,0.01657,0.000370057,0.000370057,0.000370057
21,858.881,2.00633,3.25345,0.01622,0.10387,0.15789,0.05255,0.01593,2.21347,4.59365,0.0177,0.000347429,0.000347429,0.000347429
22,899.675,1.96916,3.2724,0.01675,0.09852,0.17487,0.06348,0.01836,2.22291,4.14826,0.0179,0.0003248,0.0003248,0.0003248
23,940.371,2.03793,3.12732,0.0175,0.10257,0.16842,0.06846,0.01833,2.03868,4.05872,0.01586,0.000302171,0.000302171,0.000302171
24,981.067,1.89019,3.1416,0.01472,0.09949,0.14737,0.05646,0.01804,2.01332,4.41148,0.01574,0.000279543,0.000279543,0.000279543
25,1022.26,2.01588,3.26791,0.01671,0.09285,0.13684,0.05407,0.0143,1.96512,4.01546,0.01468,0.000256914,0.000256914,0.000256914
26,1074.29,1.79462,3.14772,0.01407,0.09872,0.11579,0.06172,0.0162,1.97932,4.00696,0.0148,0.000234286,0.000234286,0.000234286
27,1115.04,1.97761,3.11613,0.01634,0.10498,0.18947,0.06858,0.02155,1.9621,4.03178,0.01459,0.000211657,0.000211657,0.000211657
28,1156.01,1.98784,3.15818,0.01569,0.12343,0.16842,0.07141,0.02297,1.94168,4.22064,0.01421,0.000189029,0.000189029,0.000189029
29,1196.82,1.88231,3.15203,0.01582,0.13326,0.18947,0.07371,0.02657,1.996,4.22068,0.01446,0.0001664,0.0001664,0.0001664
30,1237.44,1.81507,2.94956,0.01456,0.13448,0.17895,0.07153,0.024,1.98388,4.07461,0.01481,0.000143771,0.000143771,0.000143771
31,1278.34,1.9394,2.86767,0.01643,0.11962,0.16735,0.0734,0.02414,1.95981,3.87512,0.0144,0.000121143,0.000121143,0.000121143
32,1319.2,1.94065,3.03156,0.01527,0.13487,0.17895,0.07183,0.02399,1.94796,3.93247,0.01428,9.85143e-05,9.85143e-05,9.85143e-05
33,1359.9,1.75661,2.94436,0.01466,0.13133,0.2,0.06854,0.02304,1.96167,3.97218,0.01442,7.58857e-05,7.58857e-05,7.58857e-05
34,1400.54,1.78477,2.84497,0.0149,0.13548,0.18947,0.06842,0.02376,1.97939,4.2048,0.01498,5.32571e-05,5.32571e-05,5.32571e-05
35,1441.23,1.914,2.84972,0.016,0.13351,0.2,0.06936,0.02491,1.9914,4.22902,0.01514,3.06286e-05,3.06286e-05,3.06286e-05
