epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8878,2.38256,27.2984,0.02083,0,0,0,0,2.69772,7.05333,0.0217,0.000258065,0.000258065,0.068
2,56.0263,2.3605,5.93104,0.02048,0,0,0,0,2.44353,5.58776,0.01831,0.000509889,0.000509889,0.0349185
3,82.1702,2.30426,5.07506,0.01733,0.01304,0.03158,0.00055,0.0002,2.27739,5.3074,0.01645,0.000746627,0.000746627,0.0018219
4,108.49,2.18151,4.3866,0.01763,0.10619,0.14737,0.03361,0.009,2.70653,5.05792,0.02169,0.000732114,0.000732114,0.000732114
5,135.124,2.10002,4.74887,0.01716,0.14158,0.03158,0.03511,0.00844,2.44821,6.01355,0.01843,0.000709486,0.000709486,0.000709486
6,162.104,2.04409,4.28604,0.01662,0.15758,0.11579,0.07937,0.02135,2.1415,4.58541,0.01476,0.000686857,0.000686857,0.000686857
7,188.906,1.82896,3.99865,0.01393,0.1683,0.06316,0.0713,0.01852,2.18202,4.53932,0.01582,0.000664229,0.000664229,0.000664229
8,215.697,1.96606,3.95838,0.01602,0.34738,0.21053,0.13595,0.03657,2.01008,4.12493,0.01413,0.0006416,0.0006416,0.0006416
9,242.901,1.85936,3.84439,0.01406,0.13917,0.08421,0.04677,0.01084,2.23165,12.3251,0.01609,0.000618971,0.000618971,0.000618971
10,269.928,1.89627,3.74348,0.01409,0.2127,0.21053,0.14871,0.05718,2.07048,3.71403,0.01454,0.000596343,0.000596343,0.000596343
11,296.748,1.85808,3.54974,0.01342,0.24908,0.12632,0.13973,0.05246,2.05284,4.15486,0.01427,0.000573714,0.000573714,0.000573714
12,323.33,1.86659,3.23991,0.0148,0.2603,0.26316,0.23242,0.09001,2.03176,3.5451,0.01433,0.000551086,0.000551086,0.000551086
13,350.08,1.80448,2.94108,0.01306,0.27865,0.24211,0.1906,0.0752,1.99565,3.62832,0.01348,0.000528457,0.000528457,0.000528457
14,376.804,1.75643,3.11976,0.01273,0.3131,0.25263,0.2002,0.09265,1.83789,3.65692,0.01309,0.000505829,0.000505829,0.000505829
15,403.596,1.82056,2.9334,0.01369,0.34468,0.28793,0.26553,0.09499,1.84102,3.67088,0.013,0.0004832,0.0004832,0.0004832
16,430.629,1.85405,2.80199,0.01396,0.45842,0.25844,0.28422,0.10555,1.81098,3.72226,0.01244,0.000460571,0.000460571,0.000460571
17,457.53,1.62784,2.6469,0.0122,0.42911,0.28421,0.32053,0.12143,1.78266,3.69843,0.01215,0.000437943,0.000437943,0.000437943
18,484.326,1.55745,2.61691,0.01135,0.46049,0.38636,0.3415,0.12051,1.67945,3.29467,0.01115,0.000415314,0.000415314,0.000415314
19,511.231,1.6282,2.669,0.01155,0.34484,0.36842,0.2497,0.09748,1.94217,3.12472,0.01278,0.000392686,0.000392686,0.000392686
20,538.206,1.70848,2.59357,0.01292,0.58566,0.36842,0.41032,0.16163,1.97903,3.07892,0.01318,0.000370057,0.000370057,0.000370057
21,565.718,1.60372,2.39714,0.01125,0.53249,0.44211,0.45511,0.18013,1.90114,2.67557,0.01225,0.000347429,0.000347429,0.000347429
22,592.786,1.70684,2.44266,0.0129,0.43405,0.55789,0.43442,0.15788,1.9728,2.65167,0.01321,0.0003248,0.0003248,0.0003248
23,620.235,1.58699,2.16124,0.0118,0.43848,0.42105,0.34577,0.13887,1.98496,2.79458,0.01311,0.000302171,0.000302171,0.000302171
24,647.638,1.57123,2.1491,0.01072,0.52137,0.44211,0.41081,0.17952,1.89597,2.77749,0.01219,0.000279543,0.000279543,0.000279543
25,676.701,1.57142,2.04557,0.01138,0.57654,0.4,0.44702,0.17912,1.95933,2.57993,0.01296,0.000256914,0.000256914,0.000256914
