epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.89282,0.5471,0.64,1,0.63269,0.000213889,0.000213889,0.0696583
2,6.41305,0.41439,0.34,1,1.24062,0.000432464,0.000432464,0.0365436
3,8.66844,0.30194,0.46,1,1.06109,0.000635639,0.000635639,0.00341342
4,10.9624,0.27139,0.58,1,0.93522,0.0006307,0.0006307,0.0006307
5,13.2972,0.23547,0.47333,1,1.48365,0.0006076,0.0006076,0.0006076
6,15.5961,0.18534,0.76667,1,0.59149,0.0005845,0.0005845,0.0005845
7,17.9462,0.14755,0.59333,1,1.10229,0.0005614,0.0005614,0.0005614
8,20.3091,0.13756,0.58667,1,1.06237,0.0005383,0.0005383,0.0005383
9,22.6242,0.11625,0.8,1,0.48871,0.0005152,0.0005152,0.0005152
10,24.9912,0.1059,0.85333,1,0.31874,0.0004921,0.0004921,0.0004921
11,27.3563,0.11951,0.75333,1,0.59488,0.000469,0.000469,0.000469
12,29.7218,0.08111,0.76667,1,0.46323,0.0004459,0.0004459,0.0004459
13,32.0879,0.07248,0.78667,1,0.51003,0.0004228,0.0004228,0.0004228
14,34.4764,0.05009,0.84,1,0.3764,0.0003997,0.0003997,0.0003997
15,36.8088,0.03814,0.77333,1,0.38275,0.0003766,0.0003766,0.0003766
16,39.151,0.02237,0.81333,1,0.36473,0.0003535,0.0003535,0.0003535
17,41.5228,0.03039,0.81333,1,0.43887,0.0003304,0.0003304,0.0003304
18,43.9191,0.03471,0.8,1,0.4556,0.0003073,0.0003073,0.0003073
19,46.3013,0.01185,0.84,1,0.44514,0.0002842,0.0002842,0.0002842
20,48.6951,0.02739,0.84,1,0.45384,0.0002611,0.0002611,0.0002611
