epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5183,2.86533,5.63509,0.02594,0,0,0,0,4.77222,6.8325,0.05738,0.00030303,0.00030303,0.07
2,28.9888,2.79406,5.28937,0.02256,0.00025,0.07692,3e-05,0,2.80849,6.79168,0.02699,0.000630064,0.000630064,0.0369937
3,42.5846,2.57203,5.14306,0.01929,0.00074,0.34615,0.00136,0.00018,2.69699,6.5808,0.02484,0.000950497,0.000950497,0.0039808
4,56.2924,2.52022,5.19592,0.02003,0.0013,0.57692,0.00922,0.00348,2.62288,6.21966,0.02518,0.0009703,0.0009703,0.0009703
5,69.905,2.4766,4.99496,0.01803,0.00124,0.53846,0.01205,0.00526,2.76094,5.70548,0.02437,0.0009604,0.0009604,0.0009604
6,83.5556,2.41699,4.87416,0.01836,0.00296,0.69231,0.01809,0.00429,2.30463,5.04888,0.01934,0.0009505,0.0009505,0.0009505
7,97.1906,2.25426,4.57728,0.01701,0.00337,0.5,0.03696,0.00741,2.54392,4.6782,0.02319,0.0009406,0.0009406,0.0009406
8,110.784,2.30422,4.40303,0.01695,0.21489,0.03846,0.05187,0.0121,2.57402,4.78821,0.02623,0.0009307,0.0009307,0.0009307
9,124.297,2.26983,4.06177,0.01658,0.0202,0.30769,0.05171,0.00982,2.71342,4.71779,0.02835,0.0009208,0.0009208,0.0009208
10,137.891,2.31634,4.08008,0.01761,0.00564,0.30769,0.02567,0.00821,3.04632,4.99178,0.03056,0.0009109,0.0009109,0.0009109
11,151.574,2.20727,4.12811,0.01646,0.00567,0.46154,0.01729,0.00553,2.63615,5.0205,0.02825,0.000901,0.000901,0.000901
12,165.159,2.02502,3.9331,0.01611,0.02209,0.23077,0.03066,0.00664,2.48523,4.73492,0.02239,0.0008911,0.0008911,0.0008911
13,178.775,2.04604,3.98548,0.01481,0.04631,0.23077,0.0254,0.0075,2.43188,4.39487,0.02041,0.0008812,0.0008812,0.0008812
14,192.315,1.88676,3.87324,0.01542,0.22266,0.07692,0.0309,0.00849,2.55941,4.42195,0.02245,0.0008713,0.0008713,0.0008713
15,205.853,2.29957,3.64587,0.01605,0.18308,0.07692,0.04491,0.0086,2.44869,4.60228,0.0228,0.0008614,0.0008614,0.0008614
16,219.451,2.09621,3.55535,0.01571,0.07392,0.11538,0.02581,0.00945,2.57612,4.98737,0.02392,0.0008515,0.0008515,0.0008515
17,233.05,1.98885,3.46628,0.0138,0.09276,0.07692,0.0266,0.01196,2.50518,5.13472,0.02483,0.0008416,0.0008416,0.0008416
18,246.619,2.09607,3.65002,0.01515,0.0832,0.07692,0.02121,0.00876,2.44885,4.34314,0.02373,0.0008317,0.0008317,0.0008317
19,260.276,2.01475,3.56599,0.01426,0.03809,0.07692,0.0183,0.0069,2.23035,4.25952,0.0212,0.0008218,0.0008218,0.0008218
20,273.951,2.04495,3.64879,0.01332,0.06841,0.07692,0.02564,0.00977,2.28452,4.43475,0.021,0.0008119,0.0008119,0.0008119
21,287.656,2.0667,3.28524,0.01492,0.09607,0.07692,0.03135,0.0124,2.28096,4.29378,0.02086,0.000802,0.000802,0.000802
22,301.543,1.86173,3.50406,0.01298,0.08457,0.19231,0.04068,0.01455,2.33498,4.11201,0.02097,0.0007921,0.0007921,0.0007921
23,315.171,1.93611,3.42422,0.01352,0.06774,0.19231,0.05045,0.02261,2.51883,3.95234,0.02314,0.0007822,0.0007822,0.0007822
24,328.849,1.91904,3.35519,0.01402,0.09233,0.07692,0.04978,0.02184,2.52339,3.99829,0.0223,0.0007723,0.0007723,0.0007723
25,342.515,1.99529,3.12743,0.01481,0.10826,0.07692,0.03731,0.01241,2.59705,4.22116,0.02422,0.0007624,0.0007624,0.0007624
26,356.133,1.92402,3.49867,0.01353,0.14876,0.11538,0.04999,0.01577,2.45196,4.14946,0.02263,0.0007525,0.0007525,0.0007525
27,369.863,1.953,3.08089,0.0137,0.10357,0.23077,0.07033,0.0235,2.27515,3.63341,0.01808,0.0007426,0.0007426,0.0007426
28,383.695,1.99911,3.3057,0.01409,0.16188,0.26748,0.1126,0.04729,2.26178,3.56341,0.01852,0.0007327,0.0007327,0.0007327
29,397.517,1.99926,3.13517,0.0157,0.20389,0.30769,0.11458,0.03559,2.36168,3.46382,0.01848,0.0007228,0.0007228,0.0007228
